1 6.159589 -1.746982 0.940095
3 -6.875796 -6.918359 1.776268
4 4.489517 0.368158 0.762060
6 0.449458 -1.656962 1.134446
7 2.267159 -2.158311 0.757039
8 0.788310 3.243186 1.280664
10 -2.032981 -5.799164 1.558742
11 -3.663031 -4.388827 0.261559
12 0.082982 -5.761875 0.973068
13 -7.516950 -5.146550 0.128519
15 1.049728 -0.191787 0.725616
16 3.456487 4.382301 1.055949
17 7.113422 -8.264266 0.628098
18 2.210382 0.708807 1.670686
19 -1.612069 -8.879663 0.544709
21 3.996411 0.064158 0.084845
22 0.691465 3.751388 0.822309
24 0.666998 -3.454488 1.648719
25 -0.487069 -3.468857 1.355316
26 -8.786439 -7.180732 0.662585
27 1.782181 -4.315546 1.345847
28 -4.201737 1.962775 0.728326
29 -5.100738 -2.830190 0.898411
31 -4.575020 2.296386 1.079994
32 -0.206273 2.074400 0.496717
33 -10.953509 -8.275870 2.182113
34 -29.395153 -5.158747 3.979181
35 -5.640818 -1.471682 0.673283
36 4.412972 -4.185404 0.549454
37 1.257598 3.343267 0.069994
38 1.143184 4.147414 0.250720
39 2.594140 -3.126859 1.495424
40 -0.024161 4.349485 1.487429
43 3.195894 0.503852 1.014655
44 -1.879343 -4.325750 0.344930
45 1.995817 1.872058 0.835704
46 4.988042 -2.492068 0.119499
47 7.155327 -4.250342 0.800255
48 7.263491 -4.919445 0.314221
49 0.965920 -4.592269 1.870175
50 4.522224 1.675110 1.153869
51 4.993528 0.937805 0.408724
54 1.949856 3.338162 0.487625
55 4.683981 -3.437746 1.098730
56 7.478939 -7.479495 1.302031
57 4.292981 -4.929563 0.858745
58 2.225024 -0.475591 0.829777
59 -5.832438 3.113388 0.131735
60 4.189756 -2.381699 0.490151
61 -10.424230 2.873640 3.018349
62 4.558727 4.707035 1.631721
63 5.757694 -7.083719 0.836398
64 -2.178537 2.908894 0.678442
65 2.556662 0.901880 0.606323
66 -1.626188 -8.842451 0.526353
67 0.137068 -5.774564 1.639303
69 -0.135952 2.184292 0.007562
70 4.564241 -5.618935 0.604443
71 -4.694935 0.111120 0.852324
72 4.523737 3.096868 1.086950
73 -1.637942 -1.408953 0.673371
74 -4.112586 1.305001 1.276092
75 -3.902586 -6.530712 0.880445
76 4.518291 1.671259 0.431012
77 -4.502862 10.062512 2.542971
78 1.578101 4.323127 0.140181
79 0.106546 -0.609264 0.671878
80 4.585177 1.297184 0.472201
81 -3.404001 -1.646424 0.149566
82 -1.821511 -5.491307 1.045146
83 4.446232 1.979696 0.998840
85 3.787727 -2.264598 1.334076
86 7.859235 -7.919019 0.975107
88 5.664129 0.400664 0.096511
89 -2.492302 1.839208 0.049640
90 2.111820 3.367538 0.092496
91 -4.925590 -1.811154 0.908397
92 6.374108 -4.642441 0.271760
93 -1.182670 0.056886 0.779835
94 -4.314598 2.104799 0.885345
95 7.362345 -1.433761 0.882997
97 1.826900 -1.828073 -0.207791
99 -4.758382 -8.899673 0.621901
100 6.646836 -3.001937 1.637040
102 -4.502931 3.992425 1.280276
103 1.077427 -6.900874 1.623019
104 -0.462704 6.133851 0.433662
106 -3.844915 1.661552 0.695394
107 2.181421 3.519375 0.061815
108 2.830971 -8.558866 1.186470
110 0.315685 0.183895 0.203080
111 1.040368 1.476171 1.224565
112 -1.071200 1.515088 0.142338
113 7.276215 -0.935113 0.060792
114 1.609544 2.126745 0.471849
115 -13.153296 -2.155068 3.934118
116 4.127612 0.980900 1.155692
117 1.401104 -3.134069 0.196466
118 -4.565428 -9.501240 0.478166
119 3.111916 -5.264029 0.965100
120 1.994398 -1.696960 0.515814
121 4.311091 1.627455 0.971372
122 -2.034225 -7.207709 1.243035
123 -5.860703 -8.704748 0.960030
124 0.314095 -0.393224 2.004726
127 -7.021944 -8.850077 1.130133
129 -2.048634 -7.084687 1.408629
130 -3.569709 -2.980329 1.577837
131 2.487104 3.268471 0.686299
132 -7.768662 -0.063575 2.151907
133 1.168396 2.070165 0.710396
135 3.527359 3.167817 1.079191
136 2.274148 1.018579 0.103405
137 2.196423 0.756703 0.116139
138 4.408238 -7.798979 0.797771
139 2.091487 -3.602974 0.150401
140 -4.148896 -6.354410 1.272243
141 4.430182 3.075074 0.967418
142 5.056925 -7.371198 1.637992
144 0.176180 -8.769445 1.619287
147 -1.586046 -2.615617 1.769959
149 1.378608 2.368272 1.521804
152 8.704844 -8.391845 1.479196
153 4.593895 -4.921086 1.772605
155 -1.913226 -8.347611 0.729625
156 -3.444185 -4.287619 0.197531
157 0.150796 2.226569 0.839807
158 2.258286 3.589466 0.031497
159 1.882137 3.024527 1.167593
160 0.628731 1.593127 0.617927
162 3.927505 4.150098 1.234790
163 6.299466 -0.075292 0.860720
164 -1.554148 -8.093859 1.816270
165 7.297979 -8.055072 0.035377
166 0.522997 1.057191 0.861590
167 -1.841169 1.049567 0.707893
168 -7.209935 -6.217820 0.888204
169 -22.326208 -21.453868 0.906730
170 1.732900 1.583177 0.680062
171 4.187409 2.724228 0.053323
174 -4.627995 14.933017 3.334930
175 5.107747 -2.426989 0.928066
176 -0.246160 1.263901 1.198088
177 0.053286 1.751095 0.559291
178 7.059465 -1.801141 0.916339
180 2.198493 0.876593 0.513467
182 -4.780234 6.649711 1.440001
183 3.152516 -6.479104 0.179669
184 -4.239872 -6.518482 1.200035
185 0.928284 -1.081822 0.641375
186 5.826272 -0.467162 1.286135
187 -1.786336 2.727696 1.507534
188 1.765949 -7.405057 1.839035
189 7.179456 -5.186459 1.242209
190 -4.970453 8.043185 0.468974
195 6.219115 -4.010352 1.671897
196 -3.196723 -3.608256 1.566875
197 6.438477 -4.169669 1.009813
198 -4.026775 -3.372863 1.103987
199 2.697356 -1.378780 0.065383
200 -30.406043 -4.155621 4.023206
201 0.444421 -0.612194 1.243151
203 2.456279 0.841003 1.381336
204 -7.161849 -9.792320 0.662253
205 5.793727 -6.867485 0.327274
207 4.800500 -1.340961 1.647726
208 6.630626 -3.515917 0.065833
209 -6.083668 6.318810 1.076650
210 -4.501867 3.987510 0.130065
213 8.360980 -4.257821 0.473548
214 6.437485 -0.371765 0.736886
216 8.086757 -3.693432 1.354263
217 -0.804825 0.108848 0.942948
218 6.118382 -2.026919 1.580317
219 -4.663681 -0.511789 0.135479
221 1.201365 -7.310279 1.038702
222 7.515794 -4.668475 0.003417
223 2.634656 -0.717169 -0.008993
224 -5.863772 -7.316250 1.674335
225 6.093342 -3.047643 0.921005
226 6.675724 -7.666366 1.010987
227 -1.745363 5.216715 1.904483
228 -2.609022 -6.057790 0.178671
230 -2.673652 10.082213 1.545100
232 -14.008291 -5.092178 0.622866
233 5.269949 2.868051 0.025658
234 -1.642600 2.201631 0.111615
235 -0.251726 -4.531030 1.832867
237 0.376475 -7.530395 0.944196
238 6.548533 -3.404905 0.826886
241 0.361056 2.567682 1.119494
243 -0.104494 -3.515219 1.996670
245 4.640963 1.373226 0.470579
246 -0.664617 0.468474 0.898418
247 4.214350 -7.578571 0.545918
248 -4.361321 -6.111460 0.848614
252 -0.825970 1.431498 0.140681
253 5.368572 -5.210190 1.080558
254 -2.855942 -8.454488 0.365155
256 6.734992 0.188752 0.363981
257 3.906891 -6.458089 0.470671
258 6.498889 -6.270110 0.149529
260 3.896321 -1.209140 0.613807
262 4.944887 -5.422630 0.834961
263 -0.660034 0.091204 1.245166
264 -8.973108 -6.212249 1.279643
266 8.338262 -8.130054 0.407333
271 4.981866 -0.058340 0.087490
274 5.414643 -6.176175 1.708370
276 -2.757130 11.421917 2.897439
277 4.697719 1.141686 0.005037
278 -0.135227 -2.350964 1.680929
279 -3.589262 -8.058943 0.982754
280 7.729027 -1.199093 1.011427
281 2.730841 0.548110 0.123913
285 -15.290945 -4.405683 2.048948
286 -3.799351 4.729706 1.738633
287 3.302922 -1.529078 1.181073
288 5.642754 -7.966155 1.080429
289 -3.337028 -7.320232 0.917824
290 7.372793 -1.862314 1.187430
291 3.677442 -0.255355 0.873442
292 -6.399232 -7.716551 0.961281
293 -2.350287 -4.551489 0.509494
295 -2.280651 -6.057829 1.124683
297 1.716923 -0.123675 1.691434
298 1.460770 -2.427644 -0.429680
300 2.618489 -6.287080 1.027430
301 3.000971 -1.010129 -0.115400
302 0.891923 -0.071425 0.542455
303 -4.226318 0.628323 0.788320
304 -0.201237 1.520074 0.471231
305 1.338889 3.571250 1.510325
306 7.750128 -4.494002 1.070688
307 -4.535418 -3.576749 1.317624
308 -5.137200 3.170540 0.376157
309 -5.421410 -3.318645 0.985788
310 -2.231491 -2.515348 0.695645
311 2.108283 3.064408 0.710393
314 2.437007 0.045761 1.765624
315 6.677427 -7.755751 1.225748
316 2.517552 2.500419 0.375410
317 4.112026 -0.965254 1.149306
318 8.580213 -2.586179 0.074062
319 -1.494741 -8.346513 1.777029
320 2.536950 -0.170200 1.132969
321 0.907422 4.354341 0.143652
322 -4.718760 5.721638 1.747507
323 -4.244772 4.143761 1.412465
324 0.468911 -6.130824 0.948064
326 3.738950 1.646154 0.434799
327 -0.574960 -4.578978 1.342236
328 3.200881 -2.726034 0.552775
330 7.874227 -4.240955 1.165630
331 -6.797208 -2.979118 0.219089
332 -2.879584 -0.003592 0.374339
333 -5.831893 5.905928 0.785313
335 -1.643555 -1.220196 0.701879
337 5.443617 -7.509092 0.152313
340 -4.088963 -5.168248 1.385730
341 4.885353 1.085105 1.052612
342 5.195761 0.531086 0.217155
344 3.471164 3.077238 0.208539
346 -2.027960 -7.385855 0.923976
347 -1.886094 3.079682 1.225137
348 6.692462 -4.701506 0.782611
349 6.350034 -0.747349 0.512087
351 -2.857869 -2.266768 1.469386
352 -5.473654 -6.662118 1.637728
353 -0.953695 0.475695 0.564193
354 3.141634 1.208454 0.787552
355 6.864471 -3.315587 0.043823
356 -4.750161 -9.144732 0.469493
357 -2.891201 -6.350036 1.020088
358 5.042131 3.254560 0.071155
359 -6.463309 -1.902148 1.688060
360 0.015563 -2.468315 2.140330
365 0.234542 -0.756386 0.637540
366 7.499802 -7.008392 1.080635
368 1.221985 1.744615 1.766216
369 8.285128 -5.746088 0.000353
370 -3.281445 -3.491657 0.164689
373 7.387562 -2.075031 0.386152
374 5.883132 -3.004275 0.043967
375 3.837537 -5.811210 0.925599
378 -4.648967 15.698128 0.597486
379 -6.095403 -8.184495 1.546852
380 4.752181 3.961863 0.991914
382 -4.887665 -8.460000 0.931644
383 0.859821 -3.378738 0.829274
384 2.188617 -1.450686 -0.196104
385 -27.934539 -5.856261 1.499034
388 0.019662 1.008194 0.831710
390 -6.247250 -2.096808 1.132909
391 4.662877 1.380961 0.082415
394 -1.407793 11.186326 0.714797
395 6.639201 -4.775501 1.131452
396 2.618320 -1.178948 -0.017638
397 3.954754 1.918593 1.260642
398 -4.201283 -0.069299 0.990749
399 1.874044 -0.436331 0.264572
401 -15.345527 -1.440263 1.142236
402 4.751527 0.962321 0.239912
403 -2.521950 6.534695 0.503478
404 5.514370 -1.376099 0.338515
405 -4.874599 8.916817 2.226487
406 -2.427859 3.700924 1.513835
407 -4.836547 6.027138 1.169430
408 5.615703 0.523297 0.201104
410 -2.835343 -4.157021 0.861141
412 2.346019 3.382855 0.104399
414 -4.811935 -5.511730 0.531145
415 3.967479 -7.971637 1.802282
416 -3.874938 -5.583756 1.191397
417 -8.882693 -6.875889 0.193644
418 7.512488 -3.349765 0.855122
419 5.611229 0.279627 0.141697
421 -14.047838 -6.502367 1.944043
422 7.201499 -3.750670 0.578358
423 -1.905641 -4.456042 0.744081
426 0.858542 -0.730435 0.000902
428 6.530995 -0.146939 0.985759
429 -4.010696 1.595686 1.205068
430 3.208687 -6.089769 0.994018
432 -6.870664 -8.380045 0.998438
434 -15.054766 -6.298319 2.987583
435 -7.147706 -5.878947 1.351291
438 6.387498 -8.208624 0.315725
442 -3.911708 1.458024 0.779986
443 6.432133 -1.855006 0.105873
445 4.213485 -5.503561 1.384156
446 3.610401 0.614985 0.238263
447 4.101802 -4.482693 1.573275
448 3.602796 0.494339 0.209889
449 2.531963 0.368387 0.420174
450 2.678877 3.624106 0.982436
451 -0.327996 6.141780 1.303071
452 7.481136 -4.694291 1.422491
453 3.756766 -5.020489 1.204003
454 -5.309876 6.926246 0.112676
455 0.846718 3.218195 1.402078
456 -3.646818 -5.545237 0.712027
457 4.917227 0.770813 0.778135
459 -0.107503 9.552442 1.253081
460 -2.798221 -5.419664 0.519641
461 -4.276723 0.600699 0.657397
464 2.691690 -1.570905 1.933604
465 -1.145203 8.820741 0.154190
466 -3.810351 -5.835520 0.379144
467 -2.548865 -8.696126 0.998774
468 -7.754363 0.601543 0.540832
469 3.726703 -5.006067 1.389487
470 1.993360 -0.202499 1.364544
471 -0.043242 -2.550960 0.044938
472 -3.039629 -8.675655 0.929785
473 -1.167168 -0.613031 0.899082
475 -5.915450 -1.458384 0.244186
476 0.158390 -2.260089 0.310609
477 -26.900607 -1.501317 4.926216
478 -4.618556 11.091015 2.914945
479 -4.619719 7.821950 1.075724
480 -4.101414 -5.826626 0.778387
482 4.977565 -6.099106 0.356030
483 5.095220 -5.388209 0.552613
485 2.237817 -4.902932 1.021371
487 -4.225961 1.337331 0.349877
488 2.451717 3.281521 0.666229
489 -6.025717 0.247812 1.549901
492 0.023124 1.263013 0.690384
493 0.173820 -3.172129 1.743387
494 0.060758 -7.154768 0.278666
495 -3.488320 1.391120 1.015358
496 -0.064009 2.498972 1.488379
497 -3.982175 1.735445 0.089706
498 -2.426456 -4.181705 0.756625
499 5.692682 -6.306893 0.672941
500 -2.171105 3.295099 0.770610
501 6.014709 -7.468430 0.755612
502 -12.767119 -1.418131 3.471527
504 -2.784122 -0.430880 0.780802
506 -1.428196 11.638470 1.682063
507 -0.032982 2.490883 0.648530
508 -15.638198 -6.689593 2.539722
509 0.742832 -3.217759 1.480871
510 5.326321 -3.723663 0.650731
511 7.980403 -6.718107 0.876807
512 -4.942105 -5.857808 1.653401
513 5.220311 0.671693 1.032425
515 -1.603752 0.686475 1.007940
517 2.206025 2.857336 0.216610
518 2.016876 3.160571 0.527406
519 6.208249 -2.881388 1.244168
520 1.400542 0.492131 1.691317
521 -3.021121 9.375603 2.187115
522 5.309320 4.758570 1.025151
523 -4.573902 -6.071548 1.334989
524 -19.026849 -0.252473 4.813550
525 -3.732908 2.481743 0.241541
526 0.786782 -7.715077 0.049368
527 2.347827 -1.589236 -0.333260
528 -3.374895 1.498041 0.049024
529 -5.177706 -6.640443 1.702254
530 -0.255846 -1.723497 1.063283
532 7.358399 -4.984133 0.686893
533 2.624675 -1.726445 0.930896
534 4.703444 -0.514420 1.153664
538 7.585952 -4.577920 0.874515
539 -34.949932 -4.503380 0.928967
540 -3.383753 3.154190 1.615691
541 4.694944 -6.519237 1.281216
542 -1.162883 0.705792 0.134330
544 -3.666289 -0.742691 0.444549
545 -2.772548 4.162012 0.752371
546 -6.744570 -2.273254 1.229901
547 -2.039898 -5.837892 0.924940
548 -1.958725 -7.630510 1.361656
549 6.321122 -6.507108 1.270759
550 4.974868 4.013484 0.064899
551 7.073747 -0.481914 0.402535
552 -4.993473 -7.155321 0.366322
553 -4.455283 0.266602 1.248673
556 -2.890810 -0.494301 0.140670
557 5.575297 0.283986 0.259804
560 -4.143496 -1.722902 0.746527
561 1.083338 -4.727183 0.832724
562 -4.970402 7.327421 0.433595
563 7.189838 -7.540838 1.697925
564 -4.396360 1.032139 0.579986
565 5.370802 0.669969 0.442495
566 1.219648 -5.158461 0.028720
567 2.431310 -6.114997 0.059734
568 7.841724 -7.649747 1.015681
569 -0.076099 -0.872386 0.608280
571 -2.439349 -4.089427 0.042615
572 4.942911 -2.979347 1.704092
574 2.034752 0.322462 1.271597
575 -8.913960 -3.044497 2.065640
576 -5.123483 -5.291191 1.303462
578 -2.916420 -1.241864 0.158090
579 0.039018 2.777591 0.649687
580 4.846238 3.319459 0.559324
582 3.102673 2.697339 0.006525
583 6.239691 -0.719831 0.845180
585 2.117287 -7.450650 0.696610
587 4.898006 3.543502 0.581443
588 -4.316835 1.007995 0.857091
589 3.932550 -0.202828 0.117252
590 -8.002598 1.121328 1.469685
591 2.973338 -1.049978 -0.129657
592 0.700070 2.644289 0.793823
594 -7.408081 -7.444136 1.753059
597 -0.948199 2.130889 0.530349
598 -0.007309 -3.699922 1.638260
600 -0.987715 3.534617 0.632473
601 -4.872396 -2.133030 0.783243
603 1.701658 -7.520533 1.439628
604 2.320083 3.027467 0.888297
605 8.735900 -2.433833 0.186175
606 4.990196 1.039047 0.251227
607 -7.011516 -9.497558 0.170228
608 -1.642105 0.295411 0.046280
609 7.369648 -1.309819 0.559255
611 -1.438808 0.730529 1.660272
612 -29.389658 -3.969054 4.531675
613 7.677445 -1.668855 1.051792
614 -4.308476 2.151153 1.407472
615 -6.048767 5.945649 1.277640
616 0.948635 -8.345456 1.407840
617 -5.233031 6.900542 0.375546
618 0.446228 0.303446 1.482491
619 8.013807 -7.673562 1.798399
620 6.299928 -0.593760 0.917193
621 3.453120 -5.961277 1.851236
622 7.272610 -0.693015 0.962514
623 -0.652947 4.037047 1.925963
624 -4.040239 -0.107288 1.094276
625 7.488421 -1.019021 0.399417
627 -4.644244 -5.799413 1.587642
628 1.954908 4.616760 1.334017
629 2.015849 3.190362 0.266844
630 3.579947 -1.640559 1.167174
631 4.548459 1.647553 0.228588
632 -2.683431 1.568884 0.118014
633 5.636823 -0.176699 0.034552
635 -7.893848 -6.034506 1.579182
636 -4.151725 -4.435769 0.013709
638 7.320382 -5.022407 1.485014
639 1.056915 -5.476717 0.790561
640 2.319689 -3.363093 0.376175
643 -3.102131 -4.133095 1.729043
645 -0.152554 1.086495 1.213857
647 4.338832 -0.382169 0.247895
649 -5.207293 -2.564528 0.497629
651 -4.524450 0.241758 0.273600
652 1.296412 -4.412886 1.629818
653 -0.282712 -2.334818 -0.017443
656 1.664746 2.074851 0.283941
658 -4.244263 -5.081388 0.543123
659 1.270220 2.636815 0.299524
660 1.035651 -8.128032 0.690109
662 0.676207 -0.200845 1.266851
663 -4.756735 2.645794 0.638484
665 2.592490 -2.395112 0.582128
666 1.880634 -5.913965 0.640902
668 1.547707 0.989632 0.948792
669 4.596186 1.465215 0.828207
670 -0.969607 5.209826 0.092658
672 8.563311 -7.833835 1.763375
674 4.663770 -6.306495 0.047700
675 -5.155305 12.192486 0.282016
677 -1.841103 -5.246047 0.124152
679 0.062166 8.941558 2.026805
680 -4.424278 -2.145808 0.647236
681 -6.164157 -0.765682 0.245539
682 3.821083 -0.508367 0.575495
684 -3.843929 1.881145 0.991868
686 7.110780 -7.935065 1.076289
687 -2.459618 -7.586960 1.064052
689 -2.842698 -8.000178 0.055074
690 -3.389260 1.504021 1.483956
692 -1.031559 0.225352 0.882118
693 6.607865 -6.170460 1.254945
696 0.361664 -1.018251 0.635398
697 -3.591330 -5.714759 0.038478
698 4.077082 -1.514495 0.720629
699 7.614336 -2.499761 0.405667
701 -4.475525 -5.523150 0.320804
702 -4.000386 -8.425595 1.220989
703 -0.980281 -7.253433 0.693297
704 7.666437 -3.745436 1.203184
705 2.088523 3.219086 0.452068
706 -6.005197 5.418402 0.026731
707 -15.732877 -2.673803 2.849548
708 2.821288 -8.350046 0.723875
709 -7.605637 -5.469827 1.900155
710 3.395595 -1.276988 0.469634
711 -4.950028 -1.301491 1.541308
716 -5.334301 -1.777351 0.025240
718 3.759642 3.542782 0.969777
720 -3.972116 -0.437544 1.199287
721 -2.680368 -1.645584 1.404509
722 7.346741 -7.771787 0.584191
723 0.468481 -5.327265 1.937872
724 2.322856 1.854529 0.013506
725 0.081562 -5.844066 1.428527
726 -3.226984 2.919451 0.696743
727 -1.776059 1.724449 0.844098
728 -4.619087 0.161293 0.278649
729 -6.110806 -8.787269 1.714815
731 2.599119 -0.941851 -0.087361
732 3.998563 -4.476747 0.279589
734 6.864493 -6.120695 1.447702
735 -5.643462 -7.644410 0.664521
736 -8.054972 1.283523 0.299345
737 -4.277741 1.018934 1.012347
738 6.257038 -0.229681 0.501401
739 -3.950366 -7.065200 0.216633
740 6.431574 0.228401 0.219519
741 7.524825 -0.891327 0.631770
742 1.156185 -7.981832 0.509022
743 7.161212 -5.842352 1.203151
744 4.416454 -5.748629 0.499799
746 2.675372 -5.873624 1.219312
747 7.335019 -7.837169 0.584926
749 -5.104914 -2.888153 0.618852
750 5.393719 0.474339 0.304641
751 -2.716484 0.066089 0.058604
752 -0.285460 -4.643882 0.370284
